# Residuals  
# Time       	Ux           	Uy           	p            
1            	1.000000e+00	9.909730e-01	1.000000e+00
2            	1.460870e-01	3.796800e-01	3.162100e-01
3            	6.608960e-02	1.545890e-01	1.415920e-01
4            	3.506470e-02	8.247790e-02	7.753740e-02
5            	2.090520e-02	4.875290e-02	4.845200e-02
6            	1.367280e-02	3.116520e-02	3.371500e-02
7            	9.594050e-03	2.114820e-02	2.475250e-02
8            	6.914810e-03	1.497160e-02	1.883370e-02
9            	5.111750e-03	1.084780e-02	1.470590e-02
10           	3.860080e-03	8.003850e-03	1.178190e-02
11           	2.945210e-03	6.009170e-03	9.632890e-03
12           	2.278070e-03	4.597260e-03	7.990650e-03
13           	1.779670e-03	3.562940e-03	6.759500e-03
14           	1.392400e-03	2.810380e-03	5.762140e-03
15           	1.104580e-03	2.234700e-03	4.960940e-03
16           	8.798550e-04	1.787830e-03	4.296620e-03
17           	7.091280e-04	1.450150e-03	3.785960e-03
18           	5.699220e-04	1.173150e-03	3.285620e-03
19           	4.668750e-04	9.662460e-04	2.945760e-03
20           	3.813270e-04	7.895670e-04	2.562760e-03
21           	3.451030e-04	7.012460e-04	2.310210e-03
22           	2.734230e-04	5.368690e-04	2.030560e-03
23           	2.228810e-04	4.607510e-04	1.778290e-03
24           	1.849520e-04	3.861520e-04	1.589180e-03
25           	1.615410e-04	3.342620e-04	1.413070e-03
26           	1.346680e-04	2.801370e-04	1.260090e-03
27           	1.189740e-04	2.449800e-04	1.115000e-03
28           	1.003770e-04	2.056590e-04	9.893560e-04
29           	8.817830e-05	1.799610e-04	8.806620e-04
30           	7.771810e-05	1.561950e-04	7.825190e-04
31           	6.859000e-05	1.361850e-04	6.952150e-04
32           	6.054660e-05	1.191920e-04	6.176460e-04
33           	5.345820e-05	1.045620e-04	5.490010e-04
34           	4.714490e-05	9.221460e-05	4.892220e-04
35           	4.131220e-05	8.155630e-05	4.347310e-04
36           	3.689150e-05	7.230640e-05	3.866380e-04
37           	3.295020e-05	6.420270e-05	3.441270e-04
38           	2.943700e-05	5.705110e-05	3.069000e-04
39           	2.620440e-05	5.014050e-05	2.733820e-04
40           	2.334840e-05	4.503730e-05	2.436780e-04
41           	2.080570e-05	4.050270e-05	2.172810e-04
42           	1.853570e-05	3.644220e-05	1.937840e-04
43           	1.651400e-05	3.278840e-05	1.728520e-04
44           	1.471470e-05	2.951210e-05	1.542240e-04
45           	1.312030e-05	2.655500e-05	1.376280e-04
46           	1.170570e-05	2.387750e-05	1.228700e-04
47           	1.045120e-05	2.145990e-05	1.097300e-04
48           	9.336850e-06	1.928510e-05	9.964720e-05
49           	7.543770e-06	1.741500e-05	8.835100e-05
50           	7.070760e-06	1.543060e-05	7.905920e-05
51           	6.371150e-06	1.381160e-05	7.048970e-05
52           	7.976080e-06	1.540590e-05	6.410450e-05
53           	6.293680e-06	1.100840e-05	5.644290e-05
54           	5.677910e-06	9.597410e-06	5.127530e-05
55           	5.020970e-06	7.813440e-06	4.527320e-05
56           	4.519230e-06	7.000980e-06	4.047340e-05
57           	4.157580e-06	6.313340e-06	3.601000e-05
58           	3.828260e-06	5.723640e-06	3.224560e-05
59           	3.442420e-06	5.570270e-06	2.860930e-05
60           	3.128690e-06	4.922730e-06	2.556040e-05
61           	2.902360e-06	4.549310e-06	2.285040e-05
62           	2.682560e-06	4.160350e-06	2.048060e-05
63           	2.480650e-06	3.856930e-06	1.834850e-05
64           	2.247890e-06	3.740440e-06	1.635350e-05
65           	2.055870e-06	3.391200e-06	1.459880e-05
66           	1.918490e-06	3.134500e-06	1.307520e-05
67           	1.785810e-06	2.911920e-06	1.172860e-05
68           	1.663970e-06	2.711510e-06	1.052640e-05
69           	1.551110e-06	2.536710e-06	9.449660e-06
70           	1.446960e-06	2.378910e-06	8.482580e-06
71           	1.350010e-06	2.238600e-06	7.613590e-06
72           	1.260420e-06	2.112230e-06	6.830530e-06
73           	1.177930e-06	1.999150e-06	6.126260e-06
74           	1.101850e-06	1.895530e-06	5.492790e-06
