# Residuals  
# Time       	Ux           	Uy           	p            
1            	1.000000e+00	9.909730e-01	1.000000e+00
2            	1.417180e-01	3.825590e-01	2.632070e-01
3            	6.980140e-02	1.769990e-01	1.441660e-01
4            	4.127530e-02	9.854340e-02	8.348000e-02
5            	2.598500e-02	6.097180e-02	5.301680e-02
6            	1.764610e-02	4.035880e-02	3.712050e-02
7            	1.268140e-02	2.782830e-02	2.696850e-02
8            	9.345610e-03	1.996870e-02	2.063070e-02
9            	6.982960e-03	1.486320e-02	1.607470e-02
10           	5.322400e-03	1.124230e-02	1.276930e-02
11           	4.106170e-03	8.612050e-03	1.042650e-02
12           	3.203810e-03	6.677740e-03	8.678890e-03
13           	2.533280e-03	5.235070e-03	7.329300e-03
14           	2.013220e-03	4.154200e-03	6.254190e-03
15           	1.606400e-03	3.334330e-03	5.376480e-03
16           	1.287610e-03	2.687160e-03	4.666450e-03
17           	1.045510e-03	2.162420e-03	4.070810e-03
18           	8.512600e-04	1.755180e-03	3.558920e-03
19           	6.943490e-04	1.433740e-03	3.114380e-03
20           	5.645060e-04	1.187160e-03	2.740580e-03
21           	4.624270e-04	9.840200e-04	2.416690e-03
22           	3.809760e-04	8.159380e-04	2.132810e-03
23           	3.152140e-04	6.786510e-04	1.884200e-03
24           	2.620430e-04	5.663710e-04	1.665770e-03
25           	2.188220e-04	4.743450e-04	1.473050e-03
26           	1.851360e-04	3.963770e-04	1.302540e-03
27           	1.559200e-04	3.361410e-04	1.155380e-03
28           	1.320990e-04	2.859040e-04	1.025400e-03
29           	1.125890e-04	2.434860e-04	9.105620e-04
30           	9.634290e-05	2.077590e-04	8.084090e-04
31           	8.298350e-05	1.782890e-04	7.202880e-04
32           	7.191410e-05	1.532920e-04	6.401290e-04
33           	6.247660e-05	1.327280e-04	5.709850e-04
34           	5.440310e-05	1.147260e-04	5.084150e-04
35           	4.778220e-05	9.940010e-05	4.534350e-04
36           	4.177750e-05	8.666460e-05	4.041670e-04
37           	3.664430e-05	7.591910e-05	3.603430e-04
38           	3.221190e-05	6.660080e-05	3.212860e-04
39           	2.834880e-05	5.852540e-05	2.865840e-04
40           	2.513380e-05	5.125560e-05	2.555730e-04
41           	2.220750e-05	4.526090e-05	2.279080e-04
42           	1.964230e-05	4.008720e-05	2.032870e-04
43           	1.739170e-05	3.555510e-05	1.813970e-04
44           	1.541960e-05	3.155030e-05	1.619040e-04
45           	1.368670e-05	2.804560e-05	1.445590e-04
46           	1.216610e-05	2.493890e-05	1.290920e-04
47           	1.082300e-05	2.217520e-05	1.153650e-04
48           	9.650450e-06	1.968480e-05	1.030230e-04
49           	8.622490e-06	1.750800e-05	9.212480e-05
50           	7.678680e-06	1.558040e-05	8.236240e-05
51           	6.847410e-06	1.394170e-05	7.365060e-05
52           	6.112580e-06	1.247740e-05	6.588920e-05
53           	5.460790e-06	1.116300e-05	5.895490e-05
54           	4.881950e-06	9.982210e-06	5.275570e-05
55           	4.364750e-06	8.927780e-06	4.721010e-05
56           	3.904490e-06	7.981570e-06	4.225460e-05
57           	3.492700e-06	7.140280e-06	3.782600e-05
58           	3.125440e-06	6.387260e-06	3.387500e-05
59           	2.797840e-06	5.713170e-06	3.035620e-05
60           	2.505220e-06	5.112390e-06	2.720520e-05
61           	2.244330e-06	4.574190e-06	2.438270e-05
62           	2.010950e-06	4.093280e-06	2.185570e-05
63           	1.802040e-06	3.665130e-06	1.959080e-05
64           	1.615570e-06	3.281420e-06	1.756100e-05
65           	1.448780e-06	2.937860e-06	1.574330e-05
66           	1.299060e-06	2.631400e-06	1.411360e-05
67           	1.165530e-06	2.356940e-06	1.265340e-05
68           	1.046040e-06	2.111080e-06	1.134460e-05
69           	9.385820e-07	1.891720e-06	1.017120e-05
70           	8.424370e-07	1.694950e-06	9.119310e-06
71           	7.561990e-07	1.519010e-06	8.177560e-06
72           	6.789170e-07	1.361530e-06	7.333710e-06
73           	6.094350e-07	1.221010e-06	6.577120e-06
74           	5.473740e-07	1.095570e-06	5.898820e-06
75           	4.917460e-07	9.831520e-07	5.290540e-06
76           	4.418750e-07	8.822500e-07	4.745240e-06
77           	3.969970e-07	7.921560e-07	4.256390e-06
78           	3.567970e-07	7.111340e-07	3.818000e-06
79           	3.206850e-07	6.386850e-07	3.424830e-06
80           	2.882910e-07	5.737310e-07	3.072250e-06
81           	2.590990e-07	5.156590e-07	2.756330e-06
82           	2.329480e-07	4.634550e-07	2.473090e-06
83           	2.094770e-07	4.165610e-07	2.219100e-06
84           	1.884090e-07	3.743770e-07	1.991320e-06
85           	1.694100e-07	3.366220e-07	1.786910e-06
86           	1.523840e-07	3.026200e-07	1.603520e-06
87           	1.381830e-07	2.743960e-07	1.445660e-06
88           	1.234710e-07	2.433230e-07	1.296430e-06
89           	1.105200e-07	2.185260e-07	1.163850e-06
90           	9.934560e-08	1.966000e-07	1.045280e-06
91           	8.970710e-08	1.769740e-07	9.381710e-07
92           	8.087410e-08	1.594750e-07	8.423910e-07
93           	7.288140e-08	1.437230e-07	7.566410e-07
94           	6.567890e-08	1.295230e-07	6.797140e-07
95           	5.915670e-08	1.168080e-07	6.106860e-07
96           	5.329500e-08	1.053390e-07	5.487530e-07
97           	4.801240e-08	9.503380e-08	4.932040e-07
98           	4.325480e-08	8.575140e-08	4.436610e-07
99           	3.894720e-08	7.759750e-08	3.988090e-07
100          	3.507560e-08	7.011300e-08	3.590130e-07
101          	3.191170e-08	6.334820e-08	3.227020e-07
102          	2.873370e-08	5.726930e-08	2.900700e-07
103          	2.592780e-08	5.171680e-08	2.608050e-07
104          	2.340090e-08	4.668480e-08	2.345440e-07
105          	2.111760e-08	4.214600e-08	2.109640e-07
106          	1.905430e-08	3.806920e-08	1.897730e-07
107          	1.719090e-08	3.438450e-08	1.707260e-07
108          	1.551080e-08	3.104890e-08	1.535100e-07
109          	1.397030e-08	2.857090e-08	1.380890e-07
110          	1.261180e-08	2.578660e-08	1.242820e-07
111          	1.137720e-08	2.330750e-08	1.118930e-07
112          	1.026400e-08	2.107470e-08	1.007450e-07
113          	9.255600e-09	1.906140e-08	9.381680e-08
