# Residuals  
# Time       	Ux           	Uy           	p            
1            	1.000000e+00	9.909730e-01	1.000000e+00
2            	2.865620e-01	3.180690e-01	2.721410e-01
3            	1.570950e-01	1.830870e-01	1.176980e-01
4            	1.052260e-01	1.221040e-01	6.416220e-02
5            	7.731920e-02	8.920410e-02	3.883160e-02
6            	5.939330e-02	6.884750e-02	2.536980e-02
7            	4.718970e-02	5.522500e-02	1.772990e-02
8            	3.872940e-02	4.559340e-02	1.437530e-02
9            	3.260770e-02	3.849710e-02	1.204370e-02
10           	2.798880e-02	3.310030e-02	1.016840e-02
11           	2.437320e-02	2.888850e-02	8.673140e-03
12           	2.146850e-02	2.552920e-02	7.469290e-03
13           	1.910700e-02	2.280110e-02	6.520530e-03
14           	1.713110e-02	2.055140e-02	5.796980e-03
15           	1.547740e-02	1.866910e-02	5.199620e-03
16           	1.412730e-02	1.707530e-02	4.706490e-03
17           	1.297880e-02	1.571170e-02	4.286240e-03
18           	1.198090e-02	1.453390e-02	3.929330e-03
19           	1.110550e-02	1.350670e-02	3.634180e-03
20           	1.033820e-02	1.260380e-02	3.369800e-03
21           	9.653520e-03	1.180460e-02	3.136340e-03
22           	9.043990e-03	1.109270e-02	2.926210e-03
23           	8.492240e-03	1.045500e-02	2.734880e-03
24           	7.993460e-03	9.880390e-03	2.570020e-03
25           	7.539040e-03	9.360070e-03	2.423430e-03
26           	7.123250e-03	8.886780e-03	2.291050e-03
27           	6.745230e-03	8.454600e-03	2.168480e-03
28           	6.409520e-03	8.058280e-03	2.056570e-03
29           	6.103990e-03	7.693740e-03	1.952800e-03
30           	5.825330e-03	7.357290e-03	1.856870e-03
31           	5.567350e-03	7.045700e-03	1.768740e-03
32           	5.330160e-03	6.756350e-03	1.688560e-03
33           	5.109070e-03	6.486880e-03	1.613450e-03
34           	4.904170e-03	6.235310e-03	1.542730e-03
35           	4.712260e-03	5.999930e-03	1.476630e-03
36           	4.532650e-03	5.779210e-03	1.416210e-03
37           	4.363820e-03	5.571840e-03	1.359720e-03
38           	4.204210e-03	5.376650e-03	1.306950e-03
39           	4.053470e-03	5.192630e-03	1.257770e-03
40           	3.910260e-03	5.018860e-03	1.212430e-03
41           	3.774050e-03	4.854460e-03	1.170140e-03
42           	3.644520e-03	4.698690e-03	1.129990e-03
43           	3.520940e-03	4.550910e-03	1.092080e-03
44           	3.403050e-03	4.410510e-03	1.056370e-03
45           	3.292020e-03	4.276960e-03	1.022440e-03
46           	3.188810e-03	4.149770e-03	9.900080e-04
47           	3.091420e-03	4.028500e-03	9.589480e-04
