# Region type : patch outlet
# Faces  :      10
# Area   :      1.00000000e-01
# Time          	sum(phi)
0               	0.00000000e+00
0.05            	9.99990723e-02
0.1             	1.00000067e-01
0.15            	1.00000024e-01
0.2             	1.00000002e-01
0.25            	9.99999803e-02
0.3             	1.00000010e-01
0.35            	1.00000011e-01
0.4             	1.00000006e-01
0.45            	1.00000005e-01
0.5             	1.00000005e-01
0.55            	1.00000004e-01
0.6             	1.00000004e-01
0.65            	1.00000003e-01
0.7             	1.00000003e-01
0.75            	1.00000003e-01
0.8             	1.00000003e-01
0.85            	1.00000003e-01
0.9             	1.00000003e-01
0.95            	1.00000002e-01
1               	1.00000011e-01
1.05            	1.00000009e-01
1.1             	1.00000007e-01
1.15            	1.00000006e-01
1.2             	1.00000004e-01
1.25            	1.00000003e-01
1.3             	1.00000002e-01
1.35            	1.00000002e-01
1.4             	1.00000001e-01
1.45            	1.00000001e-01
1.5             	1.00000001e-01
1.55            	1.00000001e-01
1.6             	1.00000001e-01
1.65            	1.00000007e-01
1.7             	1.00000007e-01
1.75            	1.00000006e-01
1.8             	1.00000006e-01
1.85            	1.00000006e-01
1.9             	1.00000005e-01
1.95            	1.00000005e-01
2               	1.00000005e-01
2.05            	1.00000004e-01
2.1             	1.00000004e-01
2.15            	1.00000004e-01
2.2             	1.00000003e-01
2.25            	1.00000003e-01
2.3             	1.00000003e-01
2.35            	1.00000003e-01
2.4             	1.00000003e-01
2.45            	1.00000003e-01
2.5             	1.00000003e-01
2.55            	1.00000002e-01
2.6             	1.00000002e-01
2.65            	1.00000002e-01
2.7             	1.00000002e-01
2.75            	1.00000002e-01
2.8             	1.00000005e-01
2.85            	1.00000005e-01
2.9             	1.00000005e-01
2.95            	1.00000004e-01
3               	1.00000004e-01
3.05            	1.00000004e-01
3.1             	1.00000004e-01
3.15            	1.00000004e-01
3.2             	1.00000003e-01
3.25            	1.00000003e-01
3.3             	1.00000003e-01
3.35            	1.00000003e-01
3.4             	1.00000003e-01
3.45            	1.00000002e-01
3.5             	1.00000003e-01
3.55            	1.00000002e-01
3.6             	1.00000002e-01
3.65            	1.00000002e-01
3.7             	1.00000002e-01
3.75            	1.00000002e-01
3.8             	1.00000002e-01
3.85            	1.00000002e-01
3.9             	1.00000002e-01
3.95            	1.00000002e-01
4               	1.00000002e-01
4.05            	1.00000002e-01
4.1             	1.00000002e-01
4.15            	1.00000002e-01
4.2             	1.00000001e-01
4.25            	1.00000001e-01
4.3             	1.00000001e-01
4.35            	1.00000001e-01
4.4             	1.00000001e-01
4.45            	1.00000001e-01
4.5             	1.00000001e-01
4.55            	1.00000001e-01
4.6             	1.00000001e-01
4.65            	1.00000001e-01
4.7             	1.00000001e-01
4.75            	1.00000001e-01
4.8             	1.00000001e-01
4.85            	1.00000001e-01
4.9             	1.00000001e-01
4.95            	1.00000001e-01
5               	1.00000001e-01
5.05            	1.00000001e-01
5.1             	1.00000001e-01
5.15            	1.00000001e-01
5.2             	1.00000001e-01
5.25            	1.00000001e-01
5.3             	1.00000011e-01
5.35            	1.00000007e-01
5.4             	1.00000010e-01
5.45            	1.00000008e-01
5.5             	1.00000008e-01
5.55            	1.00000008e-01
5.6             	1.00000007e-01
5.65            	1.00000007e-01
5.7             	1.00000007e-01
5.75            	1.00000007e-01
5.8             	1.00000007e-01
5.85            	1.00000006e-01
5.9             	1.00000006e-01
5.95            	1.00000006e-01
6               	1.00000006e-01
6.05            	1.00000006e-01
6.1             	1.00000005e-01
6.15            	1.00000005e-01
6.2             	1.00000005e-01
6.25            	1.00000005e-01
6.3             	1.00000005e-01
6.35            	1.00000005e-01
6.4             	1.00000005e-01
6.45            	1.00000004e-01
6.5             	1.00000004e-01
6.55            	1.00000004e-01
6.6             	1.00000004e-01
6.65            	1.00000004e-01
6.7             	1.00000003e-01
6.75            	1.00000004e-01
6.8             	1.00000003e-01
6.85            	1.00000003e-01
6.9             	1.00000003e-01
6.95            	1.00000002e-01
7               	1.00000004e-01
7.05            	1.00000002e-01
7.1             	1.00000003e-01
7.15            	1.00000003e-01
7.2             	1.00000002e-01
7.25            	1.00000003e-01
7.3             	1.00000001e-01
7.35            	1.00000003e-01
7.4             	1.00000002e-01
7.45            	1.00000002e-01
7.5             	1.00000003e-01
7.55            	1.00000001e-01
7.6             	1.00000004e-01
7.65            	1.00000001e-01
7.7             	1.00000002e-01
7.75            	1.00000003e-01
7.8             	1.00000001e-01
7.85            	1.00000003e-01
7.9             	1.00000001e-01
7.95            	1.00000003e-01
8               	1.00000002e-01
8.05            	1.00000001e-01
8.1             	1.00000002e-01
8.15            	1.00000000e-01
8.2             	1.00000002e-01
8.25            	1.00000001e-01
8.3             	1.00000001e-01
8.35            	1.00000001e-01
8.4             	9.99999998e-02
8.45            	1.00000001e-01
8.5             	9.99999998e-02
8.55            	9.99999999e-02
8.6             	1.00000000e-01
8.65            	9.99999993e-02
8.7             	1.00000008e-01
8.75            	9.99999971e-02
8.8             	9.99999982e-02
8.85            	1.00000011e-01
8.9             	9.99999946e-02
8.95            	1.00000000e-01
9               	1.00000011e-01
9.05            	9.99999939e-02
9.1             	9.99999991e-02
9.15            	1.00000007e-01
9.2             	9.99999946e-02
9.25            	9.99999993e-02
9.3             	1.00000005e-01
9.35            	9.99999945e-02
9.4             	9.99999878e-02
9.45            	9.99999994e-02
9.5             	9.99999961e-02
9.55            	9.99999929e-02
