# Region type : patch outlet
# Faces  :      10
# Area   :      1.00000000e-01
# Time          	max(U)	max(p)
0               	(0.00000000e+00 0.00000000e+00 0.00000000e+00)	0.00000000e+00
0.05            	(1.01907342e+00 1.75598125e-04 0.00000000e+00)	0.00000000e+00
0.1             	(1.09094245e+00 1.62970173e-03 0.00000000e+00)	0.00000000e+00
0.15            	(1.07069606e+00 2.97897016e-04 0.00000000e+00)	0.00000000e+00
0.2             	(1.08516007e+00 1.53330106e-04 0.00000000e+00)	0.00000000e+00
0.25            	(1.09380488e+00 3.94377627e-04 0.00000000e+00)	0.00000000e+00
0.3             	(1.10382755e+00 6.23921018e-04 0.00000000e+00)	0.00000000e+00
0.35            	(1.11403548e+00 8.19535182e-04 0.00000000e+00)	0.00000000e+00
0.4             	(1.12444602e+00 9.41010087e-04 0.00000000e+00)	0.00000000e+00
0.45            	(1.13488915e+00 9.85943592e-04 0.00000000e+00)	0.00000000e+00
0.5             	(1.14528100e+00 9.65101083e-04 0.00000000e+00)	0.00000000e+00
0.55            	(1.15554655e+00 8.94203978e-04 0.00000000e+00)	0.00000000e+00
0.6             	(1.16562933e+00 7.90694770e-04 0.00000000e+00)	0.00000000e+00
0.65            	(1.17548795e+00 6.70854476e-04 0.00000000e+00)	0.00000000e+00
0.7             	(1.18509363e+00 5.48164916e-04 0.00000000e+00)	0.00000000e+00
0.75            	(1.19442796e+00 4.32240586e-04 0.00000000e+00)	0.00000000e+00
0.8             	(1.20348199e+00 3.29309564e-04 0.00000000e+00)	0.00000000e+00
0.85            	(1.21225314e+00 2.42912306e-04 0.00000000e+00)	0.00000000e+00
0.9             	(1.22074376e+00 1.83047472e-04 0.00000000e+00)	0.00000000e+00
0.95            	(1.22895988e+00 1.40679107e-04 0.00000000e+00)	0.00000000e+00
1               	(1.23690988e+00 1.06165966e-04 0.00000000e+00)	0.00000000e+00
1.05            	(1.24460264e+00 7.87896057e-05 0.00000000e+00)	0.00000000e+00
1.1             	(1.25204841e+00 5.76013170e-05 0.00000000e+00)	0.00000000e+00
1.15            	(1.25925710e+00 4.15647339e-05 0.00000000e+00)	0.00000000e+00
1.2             	(1.26623818e+00 2.96573005e-05 0.00000000e+00)	0.00000000e+00
1.25            	(1.27300051e+00 2.09605301e-05 0.00000000e+00)	0.00000000e+00
1.3             	(1.27955231e+00 1.46844924e-05 0.00000000e+00)	0.00000000e+00
1.35            	(1.28590100e+00 1.01756641e-05 0.00000000e+00)	0.00000000e+00
1.4             	(1.29205342e+00 7.43946608e-06 0.00000000e+00)	0.00000000e+00
1.45            	(1.29801582e+00 5.63513310e-06 0.00000000e+00)	0.00000000e+00
1.5             	(1.30379392e+00 4.00606513e-06 0.00000000e+00)	0.00000000e+00
1.55            	(1.30939314e+00 2.59307074e-06 0.00000000e+00)	0.00000000e+00
1.6             	(1.31481845e+00 1.31999842e-06 0.00000000e+00)	0.00000000e+00
1.65            	(1.32007480e+00 1.58185548e-06 0.00000000e+00)	0.00000000e+00
1.7             	(1.32516670e+00 2.45757827e-06 0.00000000e+00)	0.00000000e+00
1.75            	(1.33009861e+00 3.20086424e-06 0.00000000e+00)	0.00000000e+00
1.8             	(1.33487487e+00 3.82022453e-06 0.00000000e+00)	0.00000000e+00
1.85            	(1.33949970e+00 4.31095484e-06 0.00000000e+00)	0.00000000e+00
1.9             	(1.34397719e+00 4.67482280e-06 0.00000000e+00)	0.00000000e+00
1.95            	(1.34831138e+00 4.92523281e-06 0.00000000e+00)	0.00000000e+00
2               	(1.35250622e+00 5.07726181e-06 0.00000000e+00)	0.00000000e+00
2.05            	(1.35656556e+00 5.14790446e-06 0.00000000e+00)	0.00000000e+00
2.1             	(1.36049320e+00 5.15369156e-06 0.00000000e+00)	0.00000000e+00
2.15            	(1.36429287e+00 5.10979380e-06 0.00000000e+00)	0.00000000e+00
2.2             	(1.36796822e+00 5.02902059e-06 0.00000000e+00)	0.00000000e+00
2.25            	(1.37152281e+00 4.92164235e-06 0.00000000e+00)	0.00000000e+00
2.3             	(1.37496015e+00 4.79596539e-06 0.00000000e+00)	0.00000000e+00
2.35            	(1.37828368e+00 4.65818666e-06 0.00000000e+00)	0.00000000e+00
2.4             	(1.38149674e+00 4.51289377e-06 0.00000000e+00)	0.00000000e+00
2.45            	(1.38460263e+00 4.36349717e-06 0.00000000e+00)	0.00000000e+00
2.5             	(1.38760457e+00 4.21249856e-06 0.00000000e+00)	0.00000000e+00
2.55            	(1.39050569e+00 4.06168888e-06 0.00000000e+00)	0.00000000e+00
2.6             	(1.39330907e+00 3.91239064e-06 0.00000000e+00)	0.00000000e+00
2.65            	(1.39601771e+00 3.76559005e-06 0.00000000e+00)	0.00000000e+00
2.7             	(1.39863455e+00 3.62197173e-06 0.00000000e+00)	0.00000000e+00
2.75            	(1.40116243e+00 3.48208050e-06 0.00000000e+00)	0.00000000e+00
2.8             	(1.40360420e+00 3.34588520e-06 0.00000000e+00)	0.00000000e+00
2.85            	(1.40596251e+00 3.21534870e-06 0.00000000e+00)	0.00000000e+00
2.9             	(1.40824002e+00 3.08900552e-06 0.00000000e+00)	0.00000000e+00
2.95            	(1.41043934e+00 2.96778322e-06 0.00000000e+00)	0.00000000e+00
3               	(1.41256298e+00 2.85251792e-06 0.00000000e+00)	0.00000000e+00
3.05            	(1.41461338e+00 2.74267262e-06 0.00000000e+00)	0.00000000e+00
3.1             	(1.41659292e+00 2.63775017e-06 0.00000000e+00)	0.00000000e+00
3.15            	(1.41850393e+00 2.53746787e-06 0.00000000e+00)	0.00000000e+00
3.2             	(1.42034864e+00 2.44147992e-06 0.00000000e+00)	0.00000000e+00
3.25            	(1.42212926e+00 2.34934285e-06 0.00000000e+00)	0.00000000e+00
3.3             	(1.42384789e+00 2.26077869e-06 0.00000000e+00)	0.00000000e+00
3.35            	(1.42550661e+00 2.17555926e-06 0.00000000e+00)	0.00000000e+00
3.4             	(1.42710742e+00 2.09345250e-06 0.00000000e+00)	0.00000000e+00
3.45            	(1.42865225e+00 2.01441948e-06 0.00000000e+00)	0.00000000e+00
3.5             	(1.43014300e+00 1.93807630e-06 0.00000000e+00)	0.00000000e+00
3.55            	(1.43158148e+00 1.86466490e-06 0.00000000e+00)	0.00000000e+00
3.6             	(1.43296947e+00 1.79385510e-06 0.00000000e+00)	0.00000000e+00
3.65            	(1.43430869e+00 1.72576020e-06 0.00000000e+00)	0.00000000e+00
3.7             	(1.43560078e+00 1.66023518e-06 0.00000000e+00)	0.00000000e+00
3.75            	(1.43684738e+00 1.59720729e-06 0.00000000e+00)	0.00000000e+00
3.8             	(1.43805002e+00 1.53663165e-06 0.00000000e+00)	0.00000000e+00
3.85            	(1.43921023e+00 1.47843271e-06 0.00000000e+00)	0.00000000e+00
3.9             	(1.44032947e+00 1.42253090e-06 0.00000000e+00)	0.00000000e+00
3.95            	(1.44140913e+00 1.36886293e-06 0.00000000e+00)	0.00000000e+00
4               	(1.44245061e+00 1.31733070e-06 0.00000000e+00)	0.00000000e+00
4.05            	(1.44345521e+00 1.26784224e-06 0.00000000e+00)	0.00000000e+00
4.1             	(1.44442422e+00 1.22030622e-06 0.00000000e+00)	0.00000000e+00
4.15            	(1.44535887e+00 1.17471382e-06 0.00000000e+00)	0.00000000e+00
4.2             	(1.44626036e+00 1.13090122e-06 0.00000000e+00)	0.00000000e+00
4.25            	(1.44712985e+00 1.08880305e-06 0.00000000e+00)	0.00000000e+00
4.3             	(1.44796846e+00 1.04837121e-06 0.00000000e+00)	0.00000000e+00
4.35            	(1.44877726e+00 1.00952190e-06 0.00000000e+00)	0.00000000e+00
4.4             	(1.44955731e+00 9.72185734e-07 0.00000000e+00)	0.00000000e+00
4.45            	(1.45030960e+00 9.36304001e-07 0.00000000e+00)	0.00000000e+00
4.5             	(1.45103511e+00 9.01797321e-07 0.00000000e+00)	0.00000000e+00
4.55            	(1.45173479e+00 8.68608665e-07 0.00000000e+00)	0.00000000e+00
4.6             	(1.45240955e+00 8.36694317e-07 0.00000000e+00)	0.00000000e+00
4.65            	(1.45306025e+00 8.05999757e-07 0.00000000e+00)	0.00000000e+00
4.7             	(1.45368776e+00 7.76474251e-07 0.00000000e+00)	0.00000000e+00
4.75            	(1.45429289e+00 7.48069402e-07 0.00000000e+00)	0.00000000e+00
4.8             	(1.45487643e+00 7.20738548e-07 0.00000000e+00)	0.00000000e+00
4.85            	(1.45543914e+00 6.94437062e-07 0.00000000e+00)	0.00000000e+00
4.9             	(1.45598176e+00 6.69126698e-07 0.00000000e+00)	0.00000000e+00
4.95            	(1.45650501e+00 6.44742935e-07 0.00000000e+00)	0.00000000e+00
5               	(1.45700957e+00 6.21291128e-07 0.00000000e+00)	0.00000000e+00
5.05            	(1.45749610e+00 5.98707194e-07 0.00000000e+00)	0.00000000e+00
5.1             	(1.45796524e+00 5.76958588e-07 0.00000000e+00)	0.00000000e+00
5.15            	(1.45841761e+00 5.56006542e-07 0.00000000e+00)	0.00000000e+00
5.2             	(1.45885381e+00 5.35842255e-07 0.00000000e+00)	0.00000000e+00
5.25            	(1.45927440e+00 5.16423431e-07 0.00000000e+00)	0.00000000e+00
5.3             	(1.45968005e+00 4.93220929e-07 0.00000000e+00)	0.00000000e+00
5.35            	(1.46007107e+00 4.75301457e-07 0.00000000e+00)	0.00000000e+00
5.4             	(1.46044813e+00 4.55481790e-07 0.00000000e+00)	0.00000000e+00
5.45            	(1.46081167e+00 4.37290916e-07 0.00000000e+00)	0.00000000e+00
5.5             	(1.46116221e+00 4.18006923e-07 0.00000000e+00)	0.00000000e+00
5.55            	(1.46150020e+00 3.99753897e-07 0.00000000e+00)	0.00000000e+00
5.6             	(1.46182609e+00 3.81747704e-07 0.00000000e+00)	0.00000000e+00
5.65            	(1.46214031e+00 3.64471326e-07 0.00000000e+00)	0.00000000e+00
5.7             	(1.46244327e+00 3.48140654e-07 0.00000000e+00)	0.00000000e+00
5.75            	(1.46273539e+00 3.32652626e-07 0.00000000e+00)	0.00000000e+00
5.8             	(1.46301704e+00 3.18099199e-07 0.00000000e+00)	0.00000000e+00
5.85            	(1.46328860e+00 3.04673360e-07 0.00000000e+00)	0.00000000e+00
5.9             	(1.46355044e+00 2.91856118e-07 0.00000000e+00)	0.00000000e+00
5.95            	(1.46380288e+00 2.80170237e-07 0.00000000e+00)	0.00000000e+00
6               	(1.46404629e+00 2.69092464e-07 0.00000000e+00)	0.00000000e+00
6.05            	(1.46428097e+00 2.58815769e-07 0.00000000e+00)	0.00000000e+00
6.1             	(1.46450724e+00 2.49234980e-07 0.00000000e+00)	0.00000000e+00
6.15            	(1.46472540e+00 2.40067090e-07 0.00000000e+00)	0.00000000e+00
6.2             	(1.46493573e+00 2.31699567e-07 0.00000000e+00)	0.00000000e+00
6.25            	(1.46513853e+00 2.23294814e-07 0.00000000e+00)	0.00000000e+00
6.3             	(1.46533406e+00 2.15482041e-07 0.00000000e+00)	0.00000000e+00
6.35            	(1.46552257e+00 2.08295397e-07 0.00000000e+00)	0.00000000e+00
6.4             	(1.46570433e+00 2.01527119e-07 0.00000000e+00)	0.00000000e+00
6.45            	(1.46587956e+00 1.95647271e-07 0.00000000e+00)	0.00000000e+00
6.5             	(1.46604851e+00 1.92220298e-07 0.00000000e+00)	0.00000000e+00
6.55            	(1.46621139e+00 1.90526858e-07 0.00000000e+00)	0.00000000e+00
6.6             	(1.46636843e+00 1.89894185e-07 0.00000000e+00)	0.00000000e+00
6.65            	(1.46651984e+00 1.90763000e-07 0.00000000e+00)	0.00000000e+00
6.7             	(1.46666580e+00 1.93422733e-07 0.00000000e+00)	0.00000000e+00
6.75            	(1.46680654e+00 1.97724518e-07 0.00000000e+00)	0.00000000e+00
6.8             	(1.46694220e+00 2.04735298e-07 0.00000000e+00)	0.00000000e+00
6.85            	(1.46707300e+00 2.13923200e-07 0.00000000e+00)	0.00000000e+00
6.9             	(1.46719910e+00 2.33927429e-07 0.00000000e+00)	0.00000000e+00
6.95            	(1.46732065e+00 2.59706387e-07 0.00000000e+00)	0.00000000e+00
7               	(1.46743785e+00 2.90754968e-07 0.00000000e+00)	0.00000000e+00
7.05            	(1.46755080e+00 3.28110975e-07 0.00000000e+00)	0.00000000e+00
7.1             	(1.46765970e+00 3.71590717e-07 0.00000000e+00)	0.00000000e+00
7.15            	(1.46776467e+00 4.23344405e-07 0.00000000e+00)	0.00000000e+00
7.2             	(1.46786584e+00 4.82895513e-07 0.00000000e+00)	0.00000000e+00
7.25            	(1.46796338e+00 5.52126263e-07 0.00000000e+00)	0.00000000e+00
7.3             	(1.46805735e+00 6.31796022e-07 0.00000000e+00)	0.00000000e+00
7.35            	(1.46814794e+00 7.22296498e-07 0.00000000e+00)	0.00000000e+00
7.4             	(1.46823523e+00 8.26148828e-07 0.00000000e+00)	0.00000000e+00
7.45            	(1.46831934e+00 9.42607138e-07 0.00000000e+00)	0.00000000e+00
7.5             	(1.46840040e+00 1.07455270e-06 0.00000000e+00)	0.00000000e+00
7.55            	(1.46847845e+00 1.22212039e-06 0.00000000e+00)	0.00000000e+00
7.6             	(1.46855370e+00 1.38636783e-06 0.00000000e+00)	0.00000000e+00
7.65            	(1.46862612e+00 1.56996075e-06 0.00000000e+00)	0.00000000e+00
7.7             	(1.46869589e+00 1.77168971e-06 0.00000000e+00)	0.00000000e+00
7.75            	(1.46876308e+00 1.99507506e-06 0.00000000e+00)	0.00000000e+00
7.8             	(1.46882774e+00 2.23947156e-06 0.00000000e+00)	0.00000000e+00
7.85            	(1.46889001e+00 2.50678175e-06 0.00000000e+00)	0.00000000e+00
7.9             	(1.46894990e+00 2.79842552e-06 0.00000000e+00)	0.00000000e+00
7.95            	(1.46900756e+00 3.11366647e-06 0.00000000e+00)	0.00000000e+00
8               	(1.46906300e+00 3.45580653e-06 0.00000000e+00)	0.00000000e+00
8.05            	(1.46911631e+00 3.82301168e-06 0.00000000e+00)	0.00000000e+00
8.1             	(1.46916758e+00 4.21781631e-06 0.00000000e+00)	0.00000000e+00
8.15            	(1.46921682e+00 4.64001241e-06 0.00000000e+00)	0.00000000e+00
8.2             	(1.46926415e+00 5.08936770e-06 0.00000000e+00)	0.00000000e+00
8.25            	(1.46930959e+00 5.56772775e-06 0.00000000e+00)	0.00000000e+00
8.3             	(1.46935322e+00 6.07312474e-06 0.00000000e+00)	0.00000000e+00
8.35            	(1.46939509e+00 6.60727884e-06 0.00000000e+00)	0.00000000e+00
8.4             	(1.46943523e+00 7.16889168e-06 0.00000000e+00)	0.00000000e+00
8.45            	(1.46947373e+00 7.75763976e-06 0.00000000e+00)	0.00000000e+00
8.5             	(1.46951061e+00 8.37373557e-06 0.00000000e+00)	0.00000000e+00
8.55            	(1.46954594e+00 9.01514274e-06 0.00000000e+00)	0.00000000e+00
8.6             	(1.46957976e+00 9.68230969e-06 0.00000000e+00)	0.00000000e+00
8.65            	(1.46961209e+00 1.03732142e-05 0.00000000e+00)	0.00000000e+00
8.7             	(1.46964309e+00 1.10953804e-05 0.00000000e+00)	0.00000000e+00
8.75            	(1.46967258e+00 1.18311826e-05 0.00000000e+00)	0.00000000e+00
8.8             	(1.46970077e+00 1.25836310e-05 0.00000000e+00)	0.00000000e+00
8.85            	(1.46972778e+00 1.33641635e-05 0.00000000e+00)	0.00000000e+00
8.9             	(1.46975334e+00 1.41537941e-05 0.00000000e+00)	0.00000000e+00
8.95            	(1.46977781e+00 1.49492557e-05 0.00000000e+00)	0.00000000e+00
9               	(1.46980115e+00 1.57782165e-05 0.00000000e+00)	0.00000000e+00
9.05            	(1.46982319e+00 1.66039144e-05 0.00000000e+00)	0.00000000e+00
9.1             	(1.46984425e+00 1.74316487e-05 0.00000000e+00)	0.00000000e+00
9.15            	(1.46986425e+00 1.82904165e-05 0.00000000e+00)	0.00000000e+00
9.2             	(1.46988316e+00 1.91366911e-05 0.00000000e+00)	0.00000000e+00
9.25            	(1.46990115e+00 1.99827460e-05 0.00000000e+00)	0.00000000e+00
9.3             	(1.46991817e+00 2.08464918e-05 0.00000000e+00)	0.00000000e+00
9.35            	(1.46993422e+00 2.16951684e-05 0.00000000e+00)	0.00000000e+00
9.4             	(1.46994939e+00 2.25351502e-05 0.00000000e+00)	0.00000000e+00
9.45            	(1.46996383e+00 2.33775579e-05 0.00000000e+00)	0.00000000e+00
9.5             	(1.46997735e+00 2.42181886e-05 0.00000000e+00)	0.00000000e+00
9.55            	(1.46999008e+00 2.50457120e-05 0.00000000e+00)	0.00000000e+00
9.6             	(1.47000214e+00 2.58592957e-05 0.00000000e+00)	0.00000000e+00
9.65            	(1.47001346e+00 2.66602618e-05 0.00000000e+00)	0.00000000e+00
9.7             	(1.47002405e+00 2.74516399e-05 0.00000000e+00)	0.00000000e+00
9.75            	(1.47003400e+00 2.82198378e-05 0.00000000e+00)	0.00000000e+00
9.8             	(1.47004331e+00 2.89663500e-05 0.00000000e+00)	0.00000000e+00
9.85            	(1.47005205e+00 2.96999280e-05 0.00000000e+00)	0.00000000e+00
9.9             	(1.47006020e+00 3.04233687e-05 0.00000000e+00)	0.00000000e+00
9.95            	(1.47006779e+00 3.11208111e-05 0.00000000e+00)	0.00000000e+00
10              	(1.47007495e+00 3.17965965e-05 0.00000000e+00)	0.00000000e+00
10.05           	(1.47008161e+00 3.24487594e-05 0.00000000e+00)	0.00000000e+00
10.1            	(1.47008775e+00 3.30847649e-05 0.00000000e+00)	0.00000000e+00
10.15           	(1.47009340e+00 3.37011260e-05 0.00000000e+00)	0.00000000e+00
10.2            	(1.47009881e+00 3.42766596e-05 0.00000000e+00)	0.00000000e+00
10.25           	(1.47010378e+00 3.48309264e-05 0.00000000e+00)	0.00000000e+00
10.3            	(1.47010831e+00 3.53721346e-05 0.00000000e+00)	0.00000000e+00
10.35           	(1.47011250e+00 3.58811865e-05 0.00000000e+00)	0.00000000e+00
10.4            	(1.47011631e+00 3.63708156e-05 0.00000000e+00)	0.00000000e+00
10.45           	(1.47011996e+00 3.68302331e-05 0.00000000e+00)	0.00000000e+00
10.5            	(1.47012329e+00 3.72643193e-05 0.00000000e+00)	0.00000000e+00
10.55           	(1.47012631e+00 3.76825910e-05 0.00000000e+00)	0.00000000e+00
10.6            	(1.47012909e+00 3.80753933e-05 0.00000000e+00)	0.00000000e+00
10.65           	(1.47013157e+00 3.84548835e-05 0.00000000e+00)	0.00000000e+00
10.7            	(1.47013396e+00 3.88005967e-05 0.00000000e+00)	0.00000000e+00
10.75           	(1.47013613e+00 3.91243514e-05 0.00000000e+00)	0.00000000e+00
10.8            	(1.47013807e+00 3.94331453e-05 0.00000000e+00)	0.00000000e+00
10.85           	(1.47013982e+00 3.97207669e-05 0.00000000e+00)	0.00000000e+00
