# Field minima and maxima
# Time         	field          	min            	location(min)  	processor      	max            	location(max)  	processor      
0.00119048     	p              	-9.81000000e+00	(5.30000000e-01 1.00000000e+00 7.00000000e-02)	2	1.98091950e+03	(1.00000000e-02 0.00000000e+00 7.10000000e-01)	0
0.00119048     	p_rgh          	0.00000000e+00	(5.30000000e-01 1.00000000e+00 1.00000000e-02)	2	6.82741747e+03	(0.00000000e+00 6.90000000e-01 6.10000000e-01)	3
0.00119048     	U              	(4.90477835e-07 1.53570526e-07 -1.97314951e-06)	(1.00000000e-02 1.00000000e-02 3.00000000e-02)	0	(7.17096354e-01 1.51629061e-01 1.14517142e-01)	(3.00000000e-02 6.30000000e-01 6.30000000e-01)	3
0.00119048     	alpha.water    	0.00000000e+00	(1.00000000e-02 2.10000000e-01 1.00000000e-02)	0	1.00000000e+00	(1.00000000e-02 1.00000000e-02 1.00000000e-02)	0
0.00258503     	p              	-1.81434531e+01	(1.00000000e-02 7.10000000e-01 5.90000000e-01)	3	1.96012431e+03	(9.50000000e-01 0.00000000e+00 8.30000000e-01)	1
0.00258503     	p_rgh          	-6.16610295e+00	(0.00000000e+00 7.30000000e-01 5.90000000e-01)	3	6.76186478e+03	(0.00000000e+00 6.90000000e-01 6.70000000e-01)	3
0.00258503     	U              	(-7.41068520e-02 -2.44756198e-01 -4.26936229e-01)	(3.00000000e-02 5.10000000e-01 4.90000000e-01)	0	(7.91198446e-01 1.66141609e-01 3.71192974e-02)	(3.00000000e-02 6.30000000e-01 6.10000000e-01)	3
0.00258503     	alpha.water    	-2.87107136e-09	(0.00000000e+00 7.50000000e-01 6.50000000e-01)	3	1.00000016e+00	(5.50000000e-01 1.10000000e-01 1.70000000e-01)	0
0.00422003     	p              	-1.42079801e+01	(1.00000000e-02 7.10000000e-01 6.10000000e-01)	3	1.96007955e+03	(3.30000000e-01 0.00000000e+00 6.90000000e-01)	0
0.00422003     	p_rgh          	-2.44016399e+00	(0.00000000e+00 7.30000000e-01 6.10000000e-01)	3	6.76850606e+03	(0.00000000e+00 6.90000000e-01 5.10000000e-01)	3
0.00422003     	U              	(-9.45907931e-02 -2.65952232e-01 -3.07971453e-01)	(3.00000000e-02 4.90000000e-01 4.90000000e-01)	0	(8.45930111e-01 1.07859305e-01 9.65303320e-02)	(3.00000000e-02 6.30000000e-01 6.30000000e-01)	3
0.00422003     	alpha.water    	-2.44923493e-12	(0.00000000e+00 4.70000000e-01 6.10000000e-01)	0	1.00000016e+00	(5.50000000e-01 1.10000000e-01 1.70000000e-01)	0
0.00612753     	p              	-1.39214169e+01	(1.00000000e-02 7.10000000e-01 6.10000000e-01)	3	1.96009439e+03	(3.10000000e-01 0.00000000e+00 6.70000000e-01)	0
0.00612753     	p_rgh          	-2.29442612e+00	(0.00000000e+00 7.30000000e-01 5.90000000e-01)	3	6.76731669e+03	(0.00000000e+00 6.90000000e-01 5.10000000e-01)	3
0.00612753     	U              	(-1.28538999e-01 -2.83287751e-01 -3.26803168e-01)	(3.00000000e-02 4.90000000e-01 4.90000000e-01)	0	(8.93500644e-01 1.14460497e-01 6.05128210e-02)	(3.00000000e-02 6.50000000e-01 6.30000000e-01)	3
0.00612753     	alpha.water    	1.29736716e-123	(9.90000000e-01 9.90000000e-01 1.00000000e-02)	2	1.00000016e+00	(5.50000000e-01 1.10000000e-01 1.70000000e-01)	0
0.00832115     	p              	-1.35691567e+01	(0.00000000e+00 7.10000000e-01 5.90000000e-01)	3	1.96011141e+03	(2.30000000e-01 0.00000000e+00 6.70000000e-01)	0
0.00832115     	p_rgh          	-2.59060567e+00	(0.00000000e+00 7.30000000e-01 5.90000000e-01)	3	6.77072550e+03	(0.00000000e+00 6.90000000e-01 5.30000000e-01)	3
0.00832115     	U              	(-1.42938175e-01 -2.96280522e-01 -3.34089640e-01)	(3.00000000e-02 4.90000000e-01 4.90000000e-01)	0	(1.06902431e+00 2.43021964e-01 7.20620226e-02)	(3.00000000e-02 6.90000000e-01 6.50000000e-01)	3
0.00832115     	alpha.water    	1.16240408e-120	(9.90000000e-01 9.90000000e-01 1.00000000e-02)	2	1.00000016e+00	(5.50000000e-01 1.10000000e-01 1.70000000e-01)	0
0.0109261      	p              	-1.39725355e+01	(0.00000000e+00 7.10000000e-01 6.10000000e-01)	3	1.96012482e+03	(1.50000000e-01 0.00000000e+00 6.70000000e-01)	0
0.0109261      	p_rgh          	-3.05938967e+00	(0.00000000e+00 7.30000000e-01 5.90000000e-01)	3	6.78223739e+03	(0.00000000e+00 6.90000000e-01 5.30000000e-01)	3
