# Region type : all 
#     Cells  : 125000
#     Volume : 1.00000000e+00
#          Time	volIntegrate(alpha.water)
     0.00119048	2.00000000e-01
     0.00258503	2.00055781e-01
     0.00422003	2.00121181e-01
     0.00612753	2.00197481e-01
     0.00832115	2.00285225e-01
      0.0109261	2.00389420e-01
      0.0139318	2.00509643e-01
      0.0175386	2.00653916e-01
      0.0215963	2.00816223e-01
      0.0263302	2.01005580e-01
      0.0310642	2.01194938e-01
      0.0357981	2.01384295e-01
      0.0405321	2.01573652e-01
       0.045266	2.01763009e-01
           0.05	2.01952365e-01
      0.0555556	2.02174583e-01
      0.0619048	2.02428551e-01
       0.068254	2.02682518e-01
      0.0746032	2.02936486e-01
      0.0809524	2.03190454e-01
      0.0873016	2.03444421e-01
      0.0936508	2.03698388e-01
            0.1	2.03952355e-01
       0.107143	2.04238067e-01
       0.114286	2.04523777e-01
       0.121429	2.04809487e-01
       0.128571	2.05095196e-01
       0.135714	2.05380910e-01
       0.142857	2.05666624e-01
       0.146429	2.05809481e-01
           0.15	2.05952334e-01
       0.154167	2.06119000e-01
        0.15875	2.06302333e-01
       0.163906	2.06508583e-01
       0.169063	2.06714833e-01
       0.174219	2.06921083e-01
       0.179375	2.07127333e-01
       0.184531	2.07333584e-01
       0.189688	2.07539835e-01
       0.194844	2.07746086e-01
            0.2	2.07952337e-01
       0.205556	2.08174561e-01
       0.211111	2.08396785e-01
       0.216667	2.08619009e-01
       0.222222	2.08841232e-01
       0.226852	2.09026418e-01
       0.231481	2.09211604e-01
       0.236111	2.09396790e-01
       0.240741	2.09581977e-01
        0.24537	2.09767163e-01
           0.25	2.09952350e-01
       0.254545	2.10134169e-01
       0.258678	2.10299459e-01
        0.26281	2.10464749e-01
       0.266942	2.10630039e-01
       0.271074	2.10795329e-01
       0.275207	2.10960619e-01
       0.279339	2.11125909e-01
       0.283471	2.11291199e-01
       0.287603	2.11456489e-01
       0.291736	2.11621779e-01
       0.295868	2.11787069e-01
            0.3	2.11952359e-01
       0.304545	2.12134178e-01
       0.309091	2.12315998e-01
       0.313636	2.12497817e-01
       0.318182	2.12679636e-01
       0.322727	2.12861456e-01
       0.327273	2.13043275e-01
       0.331818	2.13225094e-01
       0.336364	2.13406914e-01
       0.340909	2.13588733e-01
       0.345455	2.13770553e-01
           0.35	2.13952372e-01
       0.354545	2.14134192e-01
       0.359091	2.14316012e-01
       0.363636	2.14497832e-01
       0.368182	2.14679652e-01
       0.372727	2.14861472e-01
       0.377273	2.15043292e-01
       0.381818	2.15225112e-01
       0.386364	2.15406932e-01
       0.390909	2.15588752e-01
       0.395455	2.15770573e-01
            0.4	2.15952394e-01
       0.404545	2.16134215e-01
       0.409091	2.16316037e-01
       0.413182	2.16479675e-01
       0.417273	2.16643313e-01
       0.421364	2.16806952e-01
       0.425455	2.16970590e-01
       0.429545	2.17134229e-01
       0.433636	2.17297868e-01
       0.437727	2.17461507e-01
       0.441818	2.17625146e-01
       0.445909	2.17788785e-01
           0.45	2.17952424e-01
       0.454167	2.18119095e-01
       0.458333	2.18285765e-01
         0.4625	2.18452436e-01
       0.466667	2.18619107e-01
       0.470833	2.18785778e-01
       0.474479	2.18931614e-01
       0.478125	2.19077450e-01
       0.481771	2.19223285e-01
       0.485417	2.19369122e-01
       0.489063	2.19514958e-01
       0.492708	2.19660794e-01
       0.496354	2.19806631e-01
            0.5	2.19952468e-01
       0.503846	2.20106319e-01
       0.507692	2.20260170e-01
       0.511538	2.20414017e-01
       0.515385	2.20567863e-01
       0.519231	2.20721710e-01
       0.523077	2.20875556e-01
       0.526923	2.21029403e-01
       0.530769	2.21183249e-01
       0.534615	2.21337096e-01
       0.538462	2.21490943e-01
       0.542308	2.21644789e-01
       0.546154	2.21798636e-01
           0.55	2.21952482e-01
       0.553846	2.22106329e-01
       0.557692	2.22260176e-01
       0.561538	2.22414022e-01
       0.565385	2.22567869e-01
       0.569231	2.22721716e-01
       0.573077	2.22875562e-01
       0.576923	2.23029409e-01
       0.580769	2.23183256e-01
       0.584615	2.23337102e-01
       0.588462	2.23490949e-01
       0.592308	2.23644795e-01
       0.596154	2.23798642e-01
            0.6	2.23952489e-01
       0.603846	2.24106335e-01
       0.607692	2.24260182e-01
       0.611538	2.24414028e-01
       0.615385	2.24567875e-01
       0.619231	2.24721721e-01
       0.623077	2.24875568e-01
       0.626923	2.25029414e-01
       0.630769	2.25183261e-01
       0.634615	2.25337107e-01
       0.638462	2.25490954e-01
       0.642308	2.25644803e-01
       0.646154	2.25798653e-01
           0.65	2.25952503e-01
       0.653571	2.26095362e-01
       0.657143	2.26238221e-01
       0.660714	2.26381080e-01
       0.664286	2.26523940e-01
       0.667857	2.26666800e-01
       0.671429	2.26809660e-01
